"filename", "language", "JavaScript", "PHP", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\localTheatre\about.php", "PHP", 0, 645, 0, 0, 0, 0, 1, 42, 688
"c:\xampp\htdocs\localTheatre\blog.php", "PHP", 0, 382, 0, 0, 0, 0, 1, 23, 406
"c:\xampp\htdocs\localTheatre\contact.php", "PHP", 0, 267, 0, 0, 0, 0, 1, 28, 296
"c:\xampp\htdocs\localTheatre\css\_notes\dwsync.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\localTheatre\css\style.css", "CSS", 0, 0, 0, 8410, 0, 0, 9, 1442, 9861
"c:\xampp\htdocs\localTheatre\img\_notes\dwsync.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\xampp\htdocs\localTheatre\img\theatre shows - Google Search.html", "HTML", 0, 0, 0, 0, 0, 264, 1, 25, 290
"c:\xampp\htdocs\localTheatre\img\theatre shows - Google Search_files\app.html", "HTML", 0, 0, 0, 0, 0, 59, 1, 7, 67
"c:\xampp\htdocs\localTheatre\index.php", "PHP", 0, 346, 0, 0, 0, 0, 1, 29, 376
"c:\xampp\htdocs\localTheatre\js\_notes\dwsync.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\localTheatre\js\main.js", "JavaScript", 54, 0, 0, 0, 0, 0, 4, 8, 66
"c:\xampp\htdocs\localTheatre\lib\counterup\_notes\dwsync.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\localTheatre\lib\counterup\counterup.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 10, 1, 12
"c:\xampp\htdocs\localTheatre\lib\easing\_notes\dwsync.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\localTheatre\lib\easing\easing.js", "JavaScript", 153, 0, 0, 0, 0, 0, 9, 7, 169
"c:\xampp\htdocs\localTheatre\lib\easing\easing.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\localTheatre\lib\flaticon\_notes\dwsync.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\localTheatre\lib\flaticon\font\Flaticon.svg", "XML", 0, 0, 250, 0, 0, 0, 3, 2, 255
"c:\xampp\htdocs\localTheatre\lib\flaticon\font\_flaticon.scss", "SCSS", 0, 0, 0, 0, 51, 0, 4, 5, 60
"c:\xampp\htdocs\localTheatre\lib\flaticon\font\_notes\dwsync.xml", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\localTheatre\lib\flaticon\font\flaticon.css", "CSS", 0, 0, 0, 34, 0, 0, 4, 4, 42
"c:\xampp\htdocs\localTheatre\lib\flaticon\font\flaticon.html", "HTML", 0, 0, 0, 0, 0, 457, 4, 44, 505
